Brand,Model,Accel,TopSpeed,Range,Efficiency,FastCharge,RapidCharge,PowerTrain,PlugType,BodyStyle,Segment,Seats,Price
Tesla ,Model X Performance,2.8 sec,250 km/h,440 km,216 Wh/km,480 km/h,Rapid charging possible,All Wheel Drive,Type 2,SUV,F,7,8239200
Smart ,EQ fortwo coupe,11.6 sec,130 km/h,100 km,167 Wh/km,-,Rapid charging not possible,Rear Wheel Drive,Type 2,Hatchback,A,2,1710960
Ford ,Mustang Mach-E SR RWD,6.6 sec,180 km/h,360 km,194 Wh/km,380 km/h,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,SUV,D,5,3752000
Mercedes ,EQV 300 Long,10.0 sec,140 km/h,330 km,273 Wh/km,290 km/h,Rapid charging possible,Front Wheel Drive,Type 2 CCS,SPV,N,7,5650480
Fiat ,500e Hatchback,9.0 sec,150 km/h,250 km,168 Wh/km,330 km/h,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Hatchback,B,4,2792000
Tesla ,Cybertruck Single Motor,7.0 sec,180 km/h,390 km,256 Wh/km,740 km/h,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,Pickup,N,6,3600000
Audi ,e-tron Sportback 50 quattro,6.8 sec,190 km/h,295 km,219 Wh/km,470 km/h,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,E,5,5564080
Skoda ,Enyaq iV vRS,6.2 sec,180 km/h,400 km,193 Wh/km,540 km/h,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,C,5,3800000
Skoda ,Enyaq iV 60,9.0 sec,160 km/h,320 km,181 Wh/km,440 km/h,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,SUV,C,5,3000000
Audi ,e-tron S 55 quattro,4.5 sec,210 km/h,320 km,270 Wh/km,510 km/h,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,E,5,7504000
Smart ,EQ fortwo cabrio,11.9 sec,130 km/h,95 km,176 Wh/km,-,Rapid charging not possible,Rear Wheel Drive,Type 2,Cabrio,A,2,1965200
Kia ,e-Soul 64 kWh,7.9 sec,167 km/h,365 km,175 Wh/km,320 km/h,Rapid charging possible,Front Wheel Drive,Type 2 CCS,SUV,B,5,2946960
Nissan ,Ariya e-4ORCE 87kWh,5.7 sec,200 km/h,420 km,207 Wh/km,500 km/h,Rapid charging possible,All Wheel Drive,Type 2 CCS,Hatchback,C,5,4600000
Fiat ,500e Convertible,9.0 sec,150 km/h,250 km,168 Wh/km,330 km/h,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Cabrio,B,4,3032000
Volkswagen ,ID.3 Pro Performance,7.3 sec,160 km/h,340 km,171 Wh/km,470 km/h,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,Hatchback,C,5,2846000
Kia ,e-Soul 39 kWh,9.9 sec,157 km/h,230 km,170 Wh/km,220 km/h,Rapid charging possible,Front Wheel Drive,Type 2 CCS,SUV,B,5,2650640
Byton ,M-Byte 72 kWh 2WD,7.5 sec,190 km/h,325 km,222 Wh/km,420 km/h,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,SUV,E,5,4280000
Nissan ,Ariya 63kWh,7.5 sec,160 km/h,330 km,191 Wh/km,440 km/h,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Hatchback,C,5,3600000
Audi ,e-tron S Sportback 55 quattro,4.5 sec,210 km/h,335 km,258 Wh/km,540 km/h,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,E,5,7684000
Nissan ,Ariya e-4ORCE 63kWh,5.9 sec,200 km/h,325 km,194 Wh/km,440 km/h,Rapid charging possible,All Wheel Drive,Type 2 CCS,Hatchback,C,5,4000000
Nissan ,Ariya e-4ORCE 87kWh Performance,5.1 sec,200 km/h,375 km,232 Wh/km,450 km/h,Rapid charging possible,All Wheel Drive,Type 2 CCS,Hatchback,C,5,5200000
Byton ,M-Byte 95 kWh 2WD,7.5 sec,190 km/h,400 km,238 Wh/km,480 km/h,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,E,5,4960000
